FID,STATEFP,COUNTYFP,COUNTYNM,TRACTCE,GEOID,ALAND,AWATER,ASQMI,INTPTLAT,INTPTLON,MSSAID,MSSANM,DEFINITION,TOTALPOVPO,Shape__Area,Shape__Length
5876,06,083,Santa Barbara,002014,06083002014,2940531,0,1.13534444016,+34.9147863,-120.4257622,180.1,Orcutt/Santa Maria,Urban,6288,4383324.578125,9441.43298342229
5877,06,037,Los Angeles,700700,06037700700,3530596,0,1.36317142459,+34.0805209,-118.4165583,78.2aa,Bel Air/Beverly Glen/Beverly Hills/Brentwood/Malibu/Pacific Palisades/Santa Monica Northwest/Topanga,Urban,3534,5159575.81640625,11848.6604241833
5878,06,019,Fresno,001500,06019001500,38156230,75314,14.7612763882,+36.6871053,-119.7170769,31,Auberry/Calwa/Centerville/Clovis East/Del Rey/Fowler/Friant/Sanger/Shaver Lake,Rural,2256,59559085.5820312,40325.6283043056
5879,06,019,Fresno,007600,06019007600,356819985,0,137.768946519,+36.5805660,-119.9430164,30,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma,Rural,4255,554430470.28125,115875.887070059
5880,06,019,Fresno,008402,06019008402,452663714,2079945,175.577481226,+36.8689002,-120.6584593,25,Firebaugh/Mendota,Rural,1101,711845757.703125,179380.121319832
5881,06,029,Kern,001106,06029001106,692361,0,0.267323221896,+35.3707155,-118.9574332,66b,Bakersfield East/Lakeview/La Loma,Urban,2468,1043600.5546875,5187.6551613449
5882,06,019,Fresno,005505,06019005505,2578417,0,0.995532688543,+36.8739461,-119.7387266,35a,Fresno Northwest,Urban,6136,4036830.12109375,8023.11349696054
5883,06,019,Fresno,003900,06019003900,456644747,1669531,176.956122427,+36.7082365,-120.1192112,29,Biola/Herndon/Highway City/Kerman,Rural,6133,714483169.160156,198291.373090071
5884,06,019,Fresno,008100,06019008100,7710177,0,2.97691623879,+36.1419805,-120.3511477,27,Coalinga,Rural,6709,11847026.5273438,21244.1626847877
5885,06,019,Fresno,007400,06019007400,130140495,0,50.2475208305,+36.4550573,-119.7117320,30,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma,Rural,3386,201564089.445312,71230.2282727166
5886,06,029,Kern,001002,06029001002,982581,0,0.379375809559,+35.3671437,-118.9097512,66a,Bakersfield Northeast/Oildale,Urban,3349,1480912.16015625,4973.62193378964
5887,06,029,Kern,002702,06029002702,1187069,0,0.458330842254,+35.3496301,-119.0295124,66b,Bakersfield East/Lakeview/La Loma,Urban,3054,1788348.0390625,6068.00111318481
5888,06,029,Kern,002901,06029002901,1359957,0,0.525081098802,+35.3358268,-119.0304842,66b,Bakersfield East/Lakeview/La Loma,Urban,3063,2048105.26953125,6116.73647248332
5889,06,029,Kern,002902,06029002902,1316261,0,0.508212177643,+35.3286242,-119.0301956,66b,Bakersfield East/Lakeview/La Loma,Urban,4049,1981956.73828125,5968.82111996591
5890,06,029,Kern,003133,06029003133,2203107,0,0.8506213388,+35.3049001,-119.0426668,66c,Bakersfield Southwest,Urban,2232,3315381.875,9384.10852762476
5891,06,029,Kern,003131,06029003131,2544973,0,0.982618550411,+35.3110896,-119.0832892,66c,Bakersfield Southwest,Urban,2919,3830429.46875,8083.22644781109
5892,06,029,Kern,003130,06029003130,1410635,0,0.544649032019,+35.3000628,-119.0833167,66c,Bakersfield Southwest,Urban,4598,2122569.54296875,6011.14076230901
5893,06,029,Kern,003128,06029003128,1331706,0,0.514175227596,+35.2995126,-119.0121441,66c,Bakersfield Southwest,Urban,3929,2003782.0546875,6027.08242290538
5894,06,019,Fresno,006802,06019006802,37292523,58223,14.4212044949,+36.5998071,-119.4975161,32,Orange Cove/Parlier/Reedley/Squaw Valley/Tivy Valley/Wonder Valley,Rural,3055,58066817.875,40490.0175488407
5895,06,079,San Luis Obispo,010904,06079010904,16378539,22384,6.33243075644,+35.3140038,-120.6506319,172,San Luis Obispo,Rural,25,24687060.1953125,29544.1058062359
5896,06,079,San Luis Obispo,011201,06079011201,7621757,0,2.94277536494,+35.3016306,-120.6936762,172,San Luis Obispo,Rural,4027,11468825.8671875,16754.507793577
5897,06,079,San Luis Obispo,011202,06079011202,7410093,0,2.86105923066,+35.2803425,-120.6813504,172,San Luis Obispo,Rural,4454,11144536.734375,14642.2656088223
5898,06,079,San Luis Obispo,011105,06079011105,1179533,0,0.455419830936,+35.2706134,-120.6621728,172,San Luis Obispo,Rural,3647,1773552.54296875,6762.53167547919
5899,06,079,San Luis Obispo,010017,06079010017,518596647,22731239,209.007799706,+35.7322932,-120.9348401,173,El Paso de Robles/Lake Nacimiento/San Miguel/Shandon,Rural,3484,823099602.996094,157247.192688587
5900,06,079,San Luis Obispo,012305,06079012305,35791761,0,13.8192749258,+35.0710152,-120.5519044,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,5850,53555527.9609375,37857.6679265741
5901,06,079,San Luis Obispo,012406,06079012406,7480032,0,2.88805702197,+35.0441765,-120.4792384,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,3999,11185148.0585938,21010.8525439106
5902,06,079,San Luis Obispo,012403,06079012403,7383860,0,2.85092915314,+35.0194456,-120.5127436,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,4059,11034737.5625,16415.1136552577
5903,06,079,San Luis Obispo,011706,06079011706,20337599,0,7.85238213927,+35.1601907,-120.6487489,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,2845,30497393.125,29583.6630401419
5904,06,099,Stanislaus,003700,06099003700,40414117,0,15.6039728286,+37.4647927,-120.8836061,212.2,Keyes,Rural,4754,64261911.2929688,36785.9483950066
5905,06,099,Stanislaus,003802,06099003802,2432454,0,0.939175933571,+37.4861261,-120.8576988,212.1,Denair/Turlock,Urban,5331,3870001.328125,7985.43008166951
5906,06,079,San Luis Obispo,012002,06079012002,1612778,0,0.622698239192,+35.1224643,-120.6131026,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,5142,2416238.51171875,7586.57224449594
5907,06,079,San Luis Obispo,011705,06079011705,1631424,99354,0.668257838468,+35.1348488,-120.6243101,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,1751,2593793.828125,9294.78654727376
5908,06,079,San Luis Obispo,012001,06079012001,891224,0,0.344105325943,+35.1107258,-120.6121439,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,2749,1334840.98828125,5665.59911423276
5909,06,079,San Luis Obispo,012201,06079012201,2972422,428925,1.31326815992,+35.1074659,-120.6240989,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,3116,5093939.01171875,12219.4781555505
5910,06,079,San Luis Obispo,012202,06079012202,1797686,0,0.694090972108,+35.1008214,-120.6005136,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,3869,2691844.0703125,7373.06346365697
5911,06,079,San Luis Obispo,011104,06079011104,1121776,0,0.433119756234,+35.2668893,-120.6520819,172,San Luis Obispo,Rural,1827,1686554.98046875,8819.71068244092
5912,06,079,San Luis Obispo,012306,06079012306,132543401,7628068,54.1204765944,+35.0138709,-120.5630558,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,4696,209465015.261719,112777.57693141
5913,06,079,San Luis Obispo,012405,06079012405,4640517,0,1.79171165466,+35.0167341,-120.4788612,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,3256,6934501.59765625,13167.9620999012
5914,06,079,San Luis Obispo,012404,06079012404,8543695,985,3.29911637776,+35.0371979,-120.5045934,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,5994,12774685.0664062,16851.9566428338
5915,06,079,San Luis Obispo,010206,06079010206,4373020,0,1.68843083314,+35.6354772,-120.6707717,173,El Paso de Robles/Lake Nacimiento/San Miguel/Shandon,Rural,3184,6634662.8828125,10580.4813926225
5916,06,079,San Luis Obispo,011904,06079011904,2278434,0,0.879708214717,+35.1132773,-120.5999979,171,Arroyo Grande/Nipomo/Oceano/Pismo Beach,Rural,6906,3412744.5078125,8464.70315281846
5917,06,079,San Luis Obispo,010302,06079010302,94523946,13838,36.5012364062,+35.6228478,-120.5895083,173,El Paso de Robles/Lake Nacimiento/San Miguel/Shandon,Rural,3375,143299516.09375,78980.0650338508
5918,06,079,San Luis Obispo,010207,06079010207,38876527,0,15.0103092982,+35.6533747,-120.6445153,173,El Paso de Robles/Lake Nacimiento/San Miguel/Shandon,Rural,3760,59008989.7304688,52504.2300217041
5919,06,079,San Luis Obispo,010505,06079010505,3126731,0,1.20723760445,+35.3913654,-120.8508591,174,Baywood/Cambria/Cayucos/Morro Bay/Los Osos,Rural,3113,4715315.7890625,9623.51380137747
